id,installer_name,profile_pic,address,pincode,City,state,longitude,lattitude,Application Code,Rating Agency,Rating,Category,contact,contact1,mobile,email,fax_no,website,about_installer
44,Alpex Solar,default-img.png,"81/2, 1st Floor, SriAurobindoMarg , Adichini",110017,New Delhi,Delhi,77.19,28.53,,,,,011-26522132,,,info@alpexonline.com,,www.alpexsolar.com,
45,Arka Solutions Pvt. Ltd.,default-img.png,"C-73, Tarang Apartments, 19, IP Extension",110092,New Delhi,Delhi,77.29,28.62,,,,,91-8800538885,,,s.bhardwaj@arkasolutions.co.in,,arkasolutions.co.in,
46,Azure Power India Pvt. Ltd.,default-img.png,"No. 8, LSC, Madangir, Pushp Vihar",110062,New Delhi,Delhi,77.07,28.6,,,,,011-49409800,Fax: 011-49409807,,projects@azurepower.com ; info@azurepower.com,,azurepower.com,
47,Bharat Heavy Electricals,default-img.png,"BHEL House, Siri Fort",110049,New Delhi,Delhi,77.21,28.55,,,,,011-66337000,,,query@bhel.com,,www.bbhel.com,
48,C&S Electric Ltd.,default-img.png,"#222, Okhla Industrial Estate, Phase-III",110020,New Delhi,Delhi,77.26,28.54,,,,,011-30887520-29,Fax: 011-26847154,9910018854,rohit.dhar@cselectric.co.in; info@cselectric.co.in,,www.cselectric.co.in,
49,Claro Energy Pvt. Ltd.,default-img.png,"F-213/D, 2nd Floor, Old MB Road, Lado Sarai",110030,New Delhi,Delhi,77.18,28.52,,,,,011-40571616,,,gaurav@claroventurers.com,,,
50,Dalmia Solar Power,default-img.png,"Hansalaya, 11th & 12th Floor, 15 Barakkhambha Road ",110001,New Delhi,Delhi,77.2,28.61,,,,,011-23310121,,,marketing@dalmiacement.com,,www.dalmiacement.com,
51,Eminence Solar,default-img.png,"206, 2nd Floor, RG Mall, Sector-9, Rohini ",110085,New Delhi,Delhi,77.12,28.71,,,,,9811470267,,,info@eminencesolar.com,,www.eminencesolar.com,
52,Fedders Lloyd Corporation,default-img.png,"159, Okhla Industrial Area, Phase III ",110020,New Delhi,Delhi,77.26,28.55,,,,,011-40627200/300,,,info@fedderslloyd.com,,www.fedderslloyd.com,
53,Gautam Polymers,default-img.png,"E-245, Greater Kailash, Part-II",110048,New Delhi,Delhi,77.23,28.53,,,,,011-49730007-09,91-9310141987,,,,,
54,Gautam Solar Private Limited,default-img.png,"F 33, Okhla Industrial Area, Phase I ",110020,New Delhi,Delhi,77.28,28.51,187,SMERA,1A,A,011-49730000/ 011-26816016,,,solar@gautampolymers.com; ganesh@gautamsolar.com,,www.gautampolymers.com,
55,Green Infra,default-img.png,"2nd Floor, Tower No. 2, NBCC Plaza, Pushp Vihar, Saket ",110017,New Delhi,Delhi,77.22,28.52,,,,,011-49190500,,,info@greeninfralimited.in,,www.greeninfralimited.in,
56,Hero Future Energies,default-img.png,"202, Third Floor, Okhla Industrial Estate, Phase-III ",110020,New Delhi,Delhi,77.26,28.55,,,,,011-49598000,,,info@herofutureenergies.com,,www.herofutureenergies.co,
57,Hero Solar Energy Pvt. Ltd.,default-img.png,"51, 3rd Floor, Okhla Industrial Estate, Phase-III",110020,New Delhi,Delhi,77.26,28.55,,,,,011-49598000,Fax: 011-49598022,,alok.verma@herofutureenergies.com,,,
58,Hindustan Cleanenergy,default-img.png,"43, B, Okhla Industrial Estate, Phase III ",110020,New Delhi,Delhi,77.26,28.54,,,,,011-40594444,,,balaji.krishnaswami@hpppl.in,,www.hindustanpowerproject,
59,IL&FS Renewable Energy,default-img.png,"2nd Fllor, Niyat Bhawan, Rao Tula Marg ",110057,New Delhi,Delhi,77.19,28.55,,,,,011-46002200,,,info@lidciindia.com,,www.lidcindia.co.in,
60,Luminous Power Technologies,default-img.png,"C-8 & C-9, Community Centre, Janakpuri ",110058,New Delhi,Delhi,77.09,28.61,,,,,011-25558913-18,,,,,www.luminousindia.com,
61,Luminous Power Technologies Pvt. Ltd,default-img.png,"C-8 & C-9, Community Centre, Janakpuri",110058,New Delhi,Delhi,77.09,28.61,,,,,011-25558913-18,Fax: 011-25558912,,anurag.srivastava@luminousindia.com ; care@luminousindia.com,,luminousindia.com,
62,Mohan Energy Corporation Pvt. Ltd.,default-img.png,"Mohan House, 8-9, Zamrudpur, Community Center, Kailash Colony Extn. ",110048,New Delhi,Delhi,77.23,28.55,,,,,011-29232802-5,Fax: 011-29240191,,hksood@mohanenergy.com; mec@mohanenergy.com,,www.mohanenergy.com,
63,Moser Baer Solar,default-img.png,"3B, Okhla Industrial Estate",110020,New Delhi,Delhi,77.16,28.62,,,,,011-40594444,,,info@moserbaer.in,,www.moserbaer.com,
64,Moser Baer Solar Ltd.,default-img.png,"43-B, Okhla Industrial Estate, Phase-3",110020,New Delhi,Delhi,77.26,28.54,,,,,"011-40594444; ; 011-40594444,26911570/74",Fax: 011-41635211,981070742147,Prabir.mohanty@moserbaer.in; pvinfo@moserbaer.in,,www.moserbaersolar.com,
65,National Thermal Power Corporation,default-img.png,"SCOPE Complex, Institutional Area, Lodhi Road ",110003,New Delhi,Delhi,77.23,28.58,,,,,011-24360100,,,info@ntpc.co.in,,www.ntpc.co.in,
66,Odema Renewable India Pvt. Ltd.,default-img.png,"8/7, WEA, Karol Bagh",110005,New Delhi,Delhi,77.19,28.64,,,,,8800259992,,,,,www.odemagreenenergy.co.i,
67,Plaza Power & Infrastructure Co.,default-img.png,"104/906-907, 9th Floor, Akashdeep Building, 26, Barakhamba Road",110001,New Delhi,Delhi,77.22,28.63,,,,,011-66369666,Fax: 011-66369608,,,,,
68,Pranat Engineers Pvt. Ltd.,default-img.png,"#28, Rishabh Vihar, Karkardooma",110092,New Delhi,Delhi,77.3,28.65,,,,,011-22372828,Fax: 011-22375994,,akash2316@gmail.com,,,
69,Sun Magic Advanced Solar Systems,default-img.png,"D-1/9, Hauz Khas ",110016,New Delhi,Delhi,77.19,28.55,,,,,9811230123,,,,,,
70,Sun Source Energy Pvt. Ltd.,default-img.png,"FB-02, STP Ext., NSIC Bhawan, Okhla",110020,New Delhi,Delhi,77.25,28.54,,,,,011-45760479,,,contact@sunsource-energy.com,, www.Sunsource-Energy.com,
71,SunKalp Energy,default-img.png,"107 Rectangle-1, D-4 District Centre, Saket ",110017,New Delhi,Delhi,77.21,28.52,,,,,,,9818443802,gautam@sunkalp.com,,www.sunkalp.com,
72,Tapan Solar Energy Pvt. Ltd,default-img.png,"SF-40, 2nd Floor, Crossiver Mall, C.B.D Ground, Sahadara",110092,New Delhi,Delhi,77.27,28.66,208,ICRA,3B,B,011-42111913,Fax: 011-42111914,,info@tapansolar.com,,,
73,Urja Global,default-img.png,"487/63, 1st Floor, National Market, Peeragarhi",110087,New Delhi,Delhi,77.08,28.67,,,,,011-25279143,Fax: 011-25279143,,info@urjaglobal.in; yogesh@urjaglobal.in,,www.urjaglobal.in,
74,Vipul Enterprises,default-img.png,"17A, Chinar Drive, DLF Farms, Chattarpur",110047,New Delhi,Delhi,77.16,28.48,,,,,011-26807833,,,info@vipul-enterprises.com,,,
75,Welspun Energies,default-img.png,"3rd Floor, The Press Trust of India Building 4, Parliament Street",110001,New Delhi,Delhi,77.2,28.62,,,,,011-66034600,,,welspunenergy@welspun.com,,www.welspunenergy.com,
76,Agrawal Renewable Energy Pvt. Ltd.,default-img.png,"Anand Bhawan, Old Station Road",403601,Margoa,Goa,73.96,15.26,,,,,832-2704131-33,,, info@agrawalgroupgoa.com,,agrawalgroupgoa.com,
77,ACVA Solar Pvt. Ltd.,default-img.png,"B-11, Ashray Bungalow,  B/h GERI Compound, GOTRI",390021,Vadodara,Gujarat,73.13,22.31,233,ICRA,3B,B,0265-2372746,,7600004946,chetan@acvasolar.com; info@acvasolar.com,,http://acvasolar.com/,
78,Adani Power,default-img.png,"7 A, Sambhav Bunglow Road, Bodakdev",380015,Ahmedabad,Gujarat,72.51,23.03,,,,,079-25556900,,,media@adani.in,,www.adanipower.com,
79,Arvind Accel Ltd.,default-img.png,"Arvind Mill Premises, Naroda Road",380025,Ahmedabad,Gujarat,72.61,23.04,,ICRA,3B,,079-30138677,Fax: 079-30138677,,feedback@arvind.com,,www.arvind.com,
80,AVI Appliances Pvt. Ltd.,default-img.png,"65-66, Narayan industrial Estate, Opp. Raipur Mill Compound, Saraspur",380018,Ahmedabad,Gujarat,72.61,23.03,,,,,079-22923767,Fax: 079-22920835,,info@avi-product.com,,www.avi-products.com,
81,Bons Light Pvt. Ltd.,default-img.png,"Plot No. 564, Phase-2, GIDC, Near Vatva Railway Crossing, Vatva",382445,Ahmedabad,Gujarat,72.63,22.95,,,,,079-25891197,,,bons.light@gmail.com,,,
82,Bright Solar,default-img.png,"Plot No. 474, Road No. 12, Kathwada GIDC, Kathwada",382430,Ahmedabad,Gujarat,72.68,23.03,,,,,91-9377756205,,,info@brightsolar.co.in,Contact Person: Vidyanand Dhaytadak,www.brightsolar.in,
83,Bright Solar Pvt. Ltd.,default-img.png,"Plot No. 90, Nathbhai Estate, Nr. Brahmani Ice Factory, Near Canal, Jashodanagar Road, Amaraiwadi",,Ahmedabad,Gujarat,72.62,22.98,,,,,079-25850031,,,pbthumar@gmail.com,,,
84,El-Sol Energy Systems,default-img.png,"C-206, DevAditya Arcade, Nr. Silver Square Complex, Opp. Bagban Party Plot, Thaltej-Shilaj Road, Tha",,Ahmedabad,Gujarat,72.49,23.05,,,,,9825035366,079-29702366,9558824681,"elsolenergy@hotmail.com,",,www.elsolenergysystems.co,
85,Emeral Energy Solutions  Pvt. Ltd.,default-img.png,"215, Chandraprabhu Complex, Near Sardar Patel Statue, Naranpura",380013,Ahmedabad,Gujarat,72.53,23.04,,,,,079-40068221,Fax: 079-40068221,,,,www.emeralenergy.com,
86,Empire Industrial Equipment,default-img.png,"414, Senapati Bapat Marg, Lower Parel",400013,Mumbai,Gujarat,72.82,19,,,,,22-66607873,,,equipment@empireindia.com,,www.empireindustrialequip,
87,Etain ImMODO Renewables,default-img.png,"201, Neelkanth Vila Bunglows, Behind DPS School",380058,Ahmedabad,Gujarat,72.46,23.04,,,,,"0217-660635/36,2345553/57",,,solarinfo@etimmodo.com,,www.etimmodo.com,
88,Euro Solar System,default-img.png,"Block No. 835/P3, Nr. Premier Synthetics, Opp. Ruby Coach, Rakanpur, Kalol",382721,Gandhinagar,Gujarat,72.42,23.14,,,,,9099016724,,,eurosolarsystem@gmail.com,,,
89,Gensol Consultants Pvt. Ltd.,default-img.png,"205-206, 2nd Floor, Sarthik II, S.G.Highway, Ahmedabad 380015, Gujarat",380015,Ahmedabad,Gujarat,72.5,23.03,792,ICRA,2C,A,078-78025010; 079-40068238/239,Fax: 079-40068239,9811800243,ncr@gensol.in,,www.gensolsolar.com,
90,Goldi Green Technologies,default-img.png,"Shop No. 2, suraj Darshan Appartment, PajwaFaila, Katargam Road",395004,Surat,Gujarat,72.82,21.22,,,,,0261-3099999; 0261-4040555,Fax: 0261-2537246,,info@goldigreen.in,,www.goldigreen.in,
91,Green Brilliance Energy Pvt. Ltd.,default-img.png,"A-1/3-4, B.I.D.C Industrial Estate, Gorwa",390016,Vadodara,Gujarat,73.16,22.33,422,CARE,3B,B,78800718191, 0265-2281658,,gbindia@greeenbrilliance.com,,vivek.asthana@greenbrilli,
92,HarshaAbakus Solar,default-img.png,"Sarkhej-Bavla Road, P.O. Changodar",382213,Ahmedabad,Gujarat,72.44,22.93,,,,,02717-391208/00,,,info@harsha-abakus.com,,www.harsha-abakus.com,
93,HEC Infra Projects Ltd.,default-img.png,"Sigma-1, Corporates, Corporate House No.6, Sindhubhavan Road, Nr. Mann Party Plot Cross, Bodakdev",,Ahmedabad,Gujarat,72.5,23.04,,,,,,Fax: 079-40086771-74,,elect@hecproject.com,,,
94,JJ PV Solar Pvt Ltd.,default-img.png,"Near Vikas Stove, B/h Hargange, B/h Hargange
Weybridge, Village-Veraval (Shapar), Rajkot-360024 ",360024,Rajkot,Gujarat,70.79,22.15,46,CARE3B,B,,0282-7254474,Fax: 0282- 7254476,,,,,
95,Kalthia Power India Pvt. Ltd.,default-img.png,"Kalathia House 193, Satyagrah Chhavni, S.G Highway, Opp. Iscon Mall",,Ahmedabad,Gujarat,72.5,23.03,,,,,079-26861339,,,solar@kalthiagroup.com,,kalthiagroup.com,
96,Kanha Electronics,default-img.png,"12A, Dhananjay Bunglow, B/h Shyamal 3B, Nr. Sanjay Tower, 100ft. Road, Stellite",380015,Ahmedabad,Gujarat,72.52,23.01,,,,,9824067767,,,shah@litsunenergy.com,,litsunenergy.com,
97,KP Buildcon  Pvt. Ltd.,default-img.png,"A 1 and 2, firdous tower, New Rander Road, Adajan Patia",395009,Surat,Gujarat,72.8,21.19,,,,,0261-2764757,,,info@kpgroup.co; faruk.patel@kpgroup.co,,www.kpgroup.co,
98,Lubi Electronics,default-img.png,"Sardar Patel Ring Road, Nr, Bright School, Nana Chiloda, Dist- Gandhingar-382325",382325,Gandhinagar,Gujarat,72.65,23.11,,,,,079-39845300,Fax: 079-39845599,,pgautam@lubipumps.com; info@lubielectronics.com,, www.lubipumps.com,
99,Navitas Green Solutions,default-img.png,"Plot No. B-20/3, Road No. 13-14, Hojiwala Industrial Estate",394230,Surat,Gujarat,72.91,21.07,,,,,0261-6055123,,,info@navitassolar.com,,www.navitassolar.in,
100,Neety Euro Asia Solar Energy,default-img.png,"B/4/1, GIDC, Electronics Estate, Sector-25",382024,Gandhinagar,Gujarat,72.62,23.24,,,,,079-23287395,Fax: 079-23287394,,,,,
101,Omsun Power Pvt. Ltd.,default-img.png,"604, Sakar III, Income tax Circle",380014,Ahmedabad,Gujarat,72.56,23.04,,,,,079-27541687,,,omsun@live.com,,,
102,P&N Engineering & Marketing,default-img.png,"27, Golden Industrial Park, Nr. S.P Ring Road, Odhav Circle",382415,Ahmedabad,Gujarat,72.65,23.02,,,,,079-22900138,,,info@eurosolar.co.in,,eurosolar.co.in,
103,Pegasus Semiconductor Ltd.,default-img.png,"B-305, Titanium Square, 3rd Floor, Thaltej, Cross Road,S.G Highway",380054,Ahmedabad,Gujarat,72.51,23.05,,CARE,3B,,079-29297143,,,,,,
104,Sahaj Solar Pvt. Ltd.,default-img.png,"444-50, Poddar Arcade, Khand Bazar, Varachha Road",395006,Ahmedabad,Gujarat,72.84,21.2,,ICRA,3B,B,0261-2554150,Fax: 0261-2554149,,info@sahajsolar.com,,sahajsolar.com,
105,Saura Synergies Pvt. Ltd.,default-img.png,"#3, Binori Ambit, 1st Floor, Opp. New York Tower, Thaltej, S.G Highway",380059,Ahmedabad,Gujarat,72.5,23.06,,,,,079-40034333,,,info.saura@gmail.com,,,
106,Shashwat Green Fuels & Technologies (India) Pvt. Ltd.,default-img.png,"Siddhi House, Behind Kamaldeep Apartment, Opp. Lal Bunglow, Off CG Road, Navrangpura",,Ahmedabad,Gujarat,72.56,23.03,,,,, 079-26461620/21/22,,,karan@shashwatgreen.in,,www.shashwat-green.com,
107,Sun Energy Systems,default-img.png,"P.B No- 12, G/90, Puja Estate, Opp Raka Industries, G.I.D.C, Vitthal, Udyognagar",388121,Anand,Gujarat,72.91,22.52,,,,,02692-230317; ,9825328298,,sesin2009@gmail.com,,sunenergysystems.in,
108,Topsun Energy Ltd.,default-img.png,"B-101, GIDC, Sector-25, Electronics Zone",382028,Gandhinagar,Gujarat,72.63,23.24,,,,,079-23288804,Fax: 079-23288805,, nanduri@topsunenergy.com,,www.topsunenergy.com,
109,Waa Solar,default-img.png,"Plot-4, Nr. PanchratnaTower, Beside Amul Appartment, Subhanpura",390023,Vadodara,Gujarat,73.15,22.31,,,,,91-7600031747,,,info@madhavgrp.co.in,,www.madhavgrp.co.in,
110,Waa Solar Pvt. Ltd.,default-img.png,"#74, Alkapuri Society, 101, Gayatri Apartment, Tower B",390007,Vadodara,Gujarat,73.16,22.31,,,,,0265-2322045,Fax: 0265-2322045,,,,,
111,Zodiac Energy Pvt. Ltd.,default-img.png,"B-307, Ganesh Plaza, Navrangpura, Ahmedabad",380009,Ahmedabad,Gujarat,72.49,22.99,,,,,,Fax: 079-26443312,,kamlesh@zodiacenergy.com,,www.zodiacenergy.com,
112,ACME Solar,default-img.png,"Plot No. 152, Sector 44",122002,Gurgaon,Haryana,77.07,28.44,,,,,0124-7117000,Fax: 0124-7117001,,info@acme.in,,www.acmesolar.in,
113,AECOM,default-img.png,"9th Floor, Infinity Tower C, DLF Cyber City, DLF Phase II",122002,Gurgaon,Haryana,77.08,28.49,,,,,0124-2816026,,,aecominvestorrelations@aecom.com,,www.aecom.com,
114,AES India,default-img.png,"Unit No. 202 & 203, 2nd Floor, Suncity Biusiness Tower, Sector-54, G.C.Road",122002,Gurgaon,Haryana,77.1,28.43,,,,,0124-4420999,,,info.aesindia@aes.com,,www.aes-india.com,
115,Airsolwin,default-img.png,"B-17, Laxmi Bazar, New Colony More, Sohnachowk",122001,Gurgaon,Haryana,77.01,28.44,,,,,9560405226,,,airsolwin@gmail.com,,www.airsolwin.in,
116,Amplus Solar,default-img.png,"Level 6, JMD Regent Square, MG Road",122002,Gurgaon,Haryana,77.07,28.47,,,,,9971944883,,,contact@amplussolar.com,,www.amplussolar.com,
117,Aryav Green Energy,default-img.png,"SF-12, Omaxe Celebration Mall, Near Subhash Chowk, Sohna Road",122004,Gurgaon,Haryana,77.03,28.41,,,,,0124-4002389,,,info@aryavgreenenergy.com,,www.aryavgreenenergy.com,
